,Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,FraudFound_P,PolicyNumber,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy,ClaimSize
7129,May,5,Sunday,Mazda,Urban,Tuesday,May,5,Male,Married,41.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,9531,1,400,1.0,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1995,Collision,4633.07688663585
7130,May,3,Thursday,Mercury,Urban,Wednesday,May,4,Female,Married,57.0,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,9532,9,400,1.0,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,3 to 5,no change,1 vehicle,1995,All Perils,5367.87801063815
7131,May,3,Friday,Toyota,Urban,Monday,Jun,4,Male,Married,33.0,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,9533,15,400,3.0,more than 30,more than 30,none,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Liability,5121.09849765564
7132,May,3,Tuesday,Mazda,Urban,Tuesday,May,3,Male,Married,28.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,9534,12,400,3.0,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Collision,19533.6186220712
7133,Mar,5,Tuesday,Mazda,Urban,Friday,Apr,1,Male,Married,47.0,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,9538,12,500,2.0,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,none,2 to 3 years,1 vehicle,1995,Liability,39479.2761209551
7134,Mar,5,Tuesday,Pontiac,Urban,Sunday,May,1,Male,Single,35.0,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,9539,6,400,2.0,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,Internal,none,no change,1 vehicle,1995,Liability,56032.0631788265
7135,Feb,1,Tuesday,Accura,Urban,Monday,Feb,3,Male,Single,48.0,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,9540,16,400,3.0,more than 30,more than 30,1,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1995,Liability,2820.94524227546
7136,Dec,3,Tuesday,Honda,Urban,Thursday,Apr,3,Male,Single,0.0,Policy Holder,Utility - All Perils,Utility,more than 69000,0,9541,10,400,3.0,more than 30,more than 30,2 to 4,new,16 to 17,No,No,External,none,no change,1 vehicle,1995,All Perils,52494.3374219172
7137,Nov,5,Wednesday,Pontiac,Urban,Friday,Dec,1,Male,Married,40.0,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,9542,7,400,4.0,more than 30,more than 30,1,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Liability,29441.465967784
7138,Sep,3,Monday,Pontiac,Urban,Thursday,Sep,4,Female,Single,31.0,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,9543,9,400,4.0,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1995,Liability,7438.40408974705
7139,Sep,3,Sunday,Ford,Urban,Monday,Dec,1,Male,Married,42.0,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,9544,7,400,3.0,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,All Perils,1003.9308574209
7140,Jul,4,Monday,Honda,Urban,Wednesday,Jul,4,Female,Married,38.0,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,9545,16,400,4.0,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Liability,1203.36165898769
7141,Jun,4,Sunday,Honda,Urban,Tuesday,Jun,4,Male,Married,35.0,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,9547,13,400,1.0,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability,1349.53206812525
7142,Jun,3,Friday,Chevrolet,Urban,Monday,Jun,3,Male,Married,33.0,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,9548,4,400,3.0,more than 30,more than 30,1,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1995,Liability,4941.67528436364
7143,May,1,Friday,Mazda,Urban,Monday,May,2,Male,Married,39.0,Third Party,Sedan - Collision,Sedan,more than 69000,0,9549,16,700,4.0,more than 30,more than 30,none,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Collision,79417.3288217744
7144,May,1,Saturday,Pontiac,Urban,Tuesday,May,2,Female,Married,39.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,9550,3,400,3.0,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Collision,30167.1630348514
7145,Oct,2,Wednesday,Mercury,Urban,Wednesday,Dec,3,Male,Married,29.0,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,9551,7,400,3.0,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Liability,12484.4270551265
7146,Jun,1,Sunday,Toyota,Urban,Thursday,Jun,2,Female,Married,41.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,9553,9,400,4.0,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1995,Collision,2404.12253154523
7147,Apr,3,Thursday,Honda,Urban,Thursday,Apr,1,Male,Single,0.0,Policy Holder,Sport - All Perils,Sport,more than 69000,0,9554,15,400,4.0,more than 30,more than 30,none,new,16 to 17,Yes,No,External,none,no change,1 vehicle,1995,All Perils,90499.9941144211
7148,Apr,2,Friday,Toyota,Urban,Friday,Apr,2,Male,Married,45.0,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,9555,9,400,2.0,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1995,Liability,827.576592057355
7149,Mar,4,Wednesday,Toyota,Urban,Thursday,Mar,4,Male,Married,80.0,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,9556,9,400,2.0,more than 30,more than 30,1,more than 7,over 65,No,No,External,none,1 year,2 vehicles,1995,All Perils,3069.55522767469
7150,Mar,2,Wednesday,Honda,Urban,Friday,Jul,1,Male,Married,42.0,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,9557,6,400,2.0,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Liability,50099.5570573993
7151,Jan,4,Monday,Honda,Urban,Tuesday,Jan,4,Male,Married,51.0,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,9558,6,400,1.0,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1995,All Perils,7897.53277459034
7152,Oct,2,Friday,Toyota,Urban,Monday,Oct,3,Male,Married,33.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,9559,15,400,2.0,more than 30,more than 30,none,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Collision,8461.49404753265
7153,Oct,1,Sunday,Toyota,Urban,Wednesday,Oct,1,Female,Married,59.0,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,9560,16,400,1.0,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1995,Liability,3601.50438180036
7154,Feb,1,Saturday,Honda,Urban,Thursday,Feb,2,Male,Single,0.0,Policy Holder,Sedan - Liability,Sport,more than 69000,0,9561,4,400,2.0,more than 30,more than 30,more than 4,new,16 to 17,No,No,External,none,no change,1 vehicle,1995,Liability,58916.5392693307
7155,Mar,3,Saturday,Chevrolet,Rural,Monday,Mar,4,Male,Single,28.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,9564,4,400,1.0,more than 30,more than 30,none,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision,3177.1743699176
7156,Aug,1,Friday,Accura,Urban,Monday,Aug,2,Male,Married,36.0,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,9571,9,400,4.0,more than 30,more than 30,1,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Collision,70088.570349367
7157,Dec,2,Sunday,Honda,Urban,Monday,Dec,2,Male,Married,26.0,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,9573,5,400,2.0,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Liability,4498.00915134051
7158,Dec,2,Monday,Ford,Rural,Tuesday,Dec,2,Male,Married,48.0,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,9574,1,400,4.0,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1995,Collision,9830.15002035933
7159,Dec,2,Sunday,Toyota,Urban,Monday,Dec,2,Male,Single,22.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,9575,16,400,3.0,more than 30,more than 30,more than 4,5 years,26 to 30,No,No,External,1 to 2,no change,1 vehicle,1995,Collision,14884.6603081315
7160,Nov,3,Tuesday,Honda,Urban,Tuesday,Nov,3,Male,Married,27.0,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,9577,8,400,4.0,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,3 to 5,4 to 8 years,2 vehicles,1995,Collision,41177.6858759403
7161,Sep,1,Tuesday,Toyota,Urban,Wednesday,Sep,1,Female,Married,41.0,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,9578,15,400,4.0,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,All Perils,6415.38455593895
7162,Jul,5,Monday,Mazda,Urban,Wednesday,Aug,1,Male,Married,72.0,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,9579,13,400,2.0,more than 30,more than 30,1,7 years,over 65,No,No,External,more than 5,no change,1 vehicle,1995,Liability,5156.42401942824
7163,Mar,2,Sunday,Mazda,Rural,Monday,Mar,3,Female,Single,36.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,9582,11,400,1.0,more than 30,more than 30,1,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Collision,2488.549523954
7164,Dec,2,Monday,Honda,Urban,Wednesday,Dec,3,Male,Married,35.0,Policy Holder,Sedan - Liability,Sport,more than 69000,0,9585,2,400,4.0,more than 30,more than 30,2 to 4,6 years,31 to 35,Yes,No,External,1 to 2,no change,1 vehicle,1995,Liability,55138.1526893316
7165,Dec,3,Wednesday,Toyota,Urban,Thursday,Dec,3,Male,Married,43.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,9586,7,400,1.0,more than 30,more than 30,1,6 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1995,Collision,2081.79607028236
7166,Dec,1,Friday,Toyota,Urban,Tuesday,Dec,2,Male,Married,40.0,Third Party,Sedan - All Perils,Sedan,30000 to 39000,0,9587,16,400,4.0,15 to 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,All Perils,8577.54044935225
7167,Dec,1,Saturday,Honda,Urban,Monday,Dec,2,Male,Married,49.0,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,9589,9,500,1.0,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,more than 5,2 to 3 years,1 vehicle,1995,Liability,30865.8811232777
7168,Jan,4,Tuesday,Honda,Urban,Friday,Feb,4,Male,Married,40.0,Third Party,Sedan - All Perils,Sedan,30000 to 39000,0,9590,3,400,2.0,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1995,All Perils,53995.8290123054
7169,Jul,3,Monday,Ford,Urban,Tuesday,Jul,4,Male,Married,36.0,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,9591,3,400,4.0,more than 30,more than 30,none,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,All Perils,50754.8040303591
7170,Jul,2,Monday,Toyota,Urban,Tuesday,Oct,4,Male,Married,43.0,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,9593,12,400,3.0,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,All Perils,4149.53749617501
7171,Apr,3,Monday,Pontiac,Urban,Tuesday,Apr,3,Male,Married,27.0,Third Party,Sedan - All Perils,Sedan,less than 20000,0,9594,1,400,1.0,more than 30,more than 30,none,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,All Perils,8505.46751078618
7172,Apr,3,Sunday,Honda,Urban,Wednesday,Apr,4,Male,Married,80.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,9595,5,400,3.0,more than 30,more than 30,2 to 4,more than 7,over 65,No,No,External,none,no change,3 to 4,1995,Collision,2400.4733928553
7173,Mar,4,Friday,Toyota,Urban,Wednesday,May,1,Male,Married,66.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,9596,12,400,4.0,more than 30,more than 30,none,more than 7,over 65,No,No,External,none,no change,1 vehicle,1995,Collision,6197.67420280636
7174,Mar,1,Wednesday,Chevrolet,Rural,Tuesday,Mar,3,Male,Married,44.0,Third Party,Sedan - Liability,Sport,more than 69000,0,9597,12,400,3.0,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Liability,51163.8377519039
7175,Feb,2,Sunday,Chevrolet,Urban,Monday,Feb,3,Male,Married,32.0,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,9598,3,400,2.0,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,4 to 8 years,2 vehicles,1995,Liability,6801.08703422694
7176,Dec,4,Sunday,Toyota,Urban,Thursday,Jan,3,Male,Married,38.0,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,9599,16,400,4.0,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1995,Liability,7826.7355875461
7177,Oct,3,Saturday,Toyota,Urban,Wednesday,Oct,3,Male,Married,52.0,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,9601,7,400,4.0,more than 30,more than 30,1,6 years,41 to 50,No,No,External,none,no change,1 vehicle,1995,All Perils,5046.39101636604
7178,Oct,3,Saturday,Honda,Urban,Tuesday,Dec,2,Male,Married,60.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,9602,12,400,4.0,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1995,Collision,8255.70115450961
7179,Feb,2,Friday,Accura,Urban,Thursday,Feb,3,Female,Married,31.0,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,9603,11,400,2.0,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,All Perils,62888.3079961455
7180,Mar,2,Thursday,Toyota,Urban,Friday,Mar,2,Female,Married,48.0,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,9604,11,400,3.0,more than 30,more than 30,none,7 years,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1995,All Perils,1076.91029690599
7181,May,1,Friday,Toyota,Urban,Tuesday,May,2,Male,Married,31.0,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,9605,7,400,4.0,more than 30,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability,3677.63194651568
7182,Aug,3,Tuesday,Chevrolet,Urban,Wednesday,Sep,2,Male,Married,36.0,Policy Holder,Sedan - Liability,Sport,40000 to 59000,0,9606,5,400,4.0,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1995,Liability,29936.6575904365
7183,Aug,3,Sunday,Chevrolet,Urban,Tuesday,Aug,3,Male,Married,36.0,Policy Holder,Utility - All Perils,Utility,more than 69000,0,9607,12,400,1.0,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,All Perils,64716.4082859107
7184,Aug,2,Saturday,Pontiac,Urban,Tuesday,Aug,5,Female,Married,37.0,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,9608,9,400,2.0,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,All Perils,8305.68441871467
7185,Apr,1,Thursday,Chevrolet,Urban,Saturday,Apr,2,Male,Married,36.0,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,9610,14,400,3.0,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,1995,Collision,69029.5913970599
7186,Apr,1,Wednesday,Mazda,Urban,Thursday,Apr,1,Male,Single,39.0,Third Party,Sedan - All Perils,Sedan,more than 69000,0,9611,5,700,4.0,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,All Perils,62822.3224087184
7187,Oct,4,Thursday,Toyota,Rural,Tuesday,Dec,2,Male,Married,80.0,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,9613,12,400,3.0,more than 30,more than 30,none,6 years,over 65,No,No,External,more than 5,no change,1 vehicle,1995,All Perils,2034.56603398462
7188,Jan,4,Thursday,Pontiac,Urban,Friday,Feb,1,Female,Single,26.0,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,1,9614,16,400,2.0,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,All Perils,2429.4805360581
7189,Dec,1,Sunday,Honda,Urban,Tuesday,Dec,2,Male,Married,43.0,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,9615,11,400,2.0,more than 30,more than 30,none,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,All Perils,8201.75485302153
7190,Feb,4,Monday,Pontiac,Rural,Tuesday,Feb,4,Male,Married,40.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,9616,7,400,2.0,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Collision,7529.29408062739
7191,Mar,5,Wednesday,Pontiac,Urban,Tuesday,Apr,1,Male,Married,38.0,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,9617,10,400,1.0,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Collision,5264.79215027276
7192,May,3,Friday,Toyota,Urban,Sunday,May,4,Male,Married,27.0,Third Party,Sedan - All Perils,Sedan,less than 20000,0,9618,10,400,4.0,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,All Perils,7312.58913404551
7193,May,3,Sunday,Pontiac,Urban,Friday,May,3,Male,Married,28.0,Policy Holder,Sedan - Liability,Sport,more than 69000,0,9619,7,400,1.0,more than 30,more than 30,1,5 years,31 to 35,No,No,External,3 to 5,4 to 8 years,2 vehicles,1995,Liability,68467.7073368253
7194,May,2,Wednesday,Honda,Rural,Thursday,May,4,Female,Married,37.0,Third Party,Sedan - Liability,Sport,20000 to 29000,0,9620,12,400,3.0,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Liability,12861.4343721995
7195,May,1,Monday,Toyota,Urban,Thursday,May,1,Male,Married,50.0,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,9621,15,400,2.0,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1995,Collision,56510.9537191936
7196,Jun,1,Saturday,Honda,Urban,Wednesday,Jun,2,Male,Married,39.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,9622,2,400,2.0,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Collision,3446.15904540501
7197,Jun,5,Tuesday,Pontiac,Urban,Tuesday,Jul,2,Female,Single,39.0,Third Party,Sedan - Collision,Sedan,less than 20000,0,9624,6,400,3.0,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Collision,1903.64844110818
7198,Jun,4,Monday,Pontiac,Urban,Monday,Jul,1,Female,Single,43.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,9625,8,400,3.0,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1995,Collision,2715.94023364896
7199,Sep,4,Friday,Mazda,Urban,Friday,Oct,3,Male,Married,33.0,Third Party,Sedan - Liability,Sport,30000 to 39000,0,9626,3,400,2.0,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1995,Liability,73871.3101188364
7200,Sep,3,Wednesday,Toyota,Urban,Friday,Sep,3,Male,Married,28.0,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,9627,11,400,1.0,more than 30,more than 30,1,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1995,Collision,1792.07287106322
7201,Oct,1,Wednesday,Mazda,Rural,Monday,Oct,2,Male,Single,29.0,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,9628,1,400,3.0,more than 30,more than 30,1,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1995,Collision,49867.5538980971
7202,Dec,1,Monday,Pontiac,Urban,Wednesday,Dec,3,Male,Married,38.0,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,9629,2,400,1.0,more than 30,more than 30,1,6 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Collision,60577.3583903084
7203,Dec,1,Tuesday,Pontiac,Urban,Wednesday,Dec,5,Male,Married,31.0,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,9630,4,400,3.0,more than 30,more than 30,more than 4,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability,16855.3707705462
7204,Apr,4,Friday,Pontiac,Urban,Friday,Apr,4,Male,Married,62.0,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,9631,5,400,4.0,more than 30,more than 30,none,7 years,51 to 65,No,No,External,3 to 5,no change,1 vehicle,1995,All Perils,7172.0736405029
7205,Apr,3,Saturday,Chevrolet,Urban,Tuesday,Apr,3,Male,Married,26.0,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,9632,8,400,2.0,more than 30,more than 30,1,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Collision,63502.1602284515
7206,May,2,Wednesday,Honda,Urban,Thursday,May,3,Female,Single,35.0,Policy Holder,Sport - Collision,Sport,more than 69000,0,9633,7,400,3.0,more than 30,more than 30,none,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision,87864.1817233966
7207,May,5,Tuesday,Mazda,Urban,Monday,Jul,2,Female,Married,38.0,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,9634,4,400,1.0,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1995,Collision,55591.4057116878
7208,May,3,Monday,Chevrolet,Urban,Wednesday,Jul,1,Male,Married,33.0,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,9635,15,400,1.0,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision,6842.64192988038
7209,Jul,3,Saturday,Honda,Urban,Monday,Jul,3,Male,Single,23.0,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,9636,9,400,1.0,more than 30,more than 30,1,3 years,26 to 30,No,No,External,none,no change,3 to 4,1995,All Perils,6823.09589072996
7210,Sep,2,Monday,Accura,Urban,Tuesday,Sep,2,Male,Single,31.0,Policy Holder,Sedan - Liability,Sport,more than 69000,0,9637,9,400,2.0,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Liability,54082.7671005365
7211,Sep,2,Wednesday,Accura,Urban,Wednesday,Sep,3,Male,Single,52.0,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,9638,10,400,3.0,more than 30,more than 30,1,7 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,1995,All Perils,26247.9650040979
7212,Aug,2,Friday,Toyota,Urban,Friday,Aug,2,Female,Single,31.0,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,9639,12,400,3.0,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1995,Liability,1285.53347118397
7213,Oct,3,Friday,Honda,Urban,Friday,Oct,3,Male,Married,36.0,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,9640,8,500,4.0,more than 30,more than 30,more than 4,more than 7,36 to 40,No,No,External,more than 5,2 to 3 years,2 vehicles,1995,Liability,15108.2382264645
7214,Dec,1,Wednesday,Toyota,Urban,Thursday,Dec,2,Male,Married,40.0,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,9642,10,700,2.0,more than 30,more than 30,more than 4,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,1995,Liability,38878.2480944814
7215,Dec,2,Saturday,Pontiac,Urban,Monday,Dec,2,Male,Single,27.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,9643,4,400,2.0,more than 30,more than 30,2 to 4,7 years,31 to 35,Yes,No,External,1 to 2,no change,1 vehicle,1995,Collision,3918.83054106345
7216,Feb,1,Wednesday,Chevrolet,Urban,Tuesday,Feb,4,Male,Married,46.0,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,9645,12,400,1.0,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1995,All Perils,64916.1957043489
7217,Feb,3,Sunday,Honda,Urban,Monday,Feb,3,Male,Married,75.0,Third Party,Sedan - Liability,Sport,20000 to 29000,0,9646,3,400,1.0,more than 30,more than 30,2 to 4,more than 7,over 65,No,No,External,1 to 2,no change,1 vehicle,1995,Liability,4762.17913748172
7218,Mar,4,Friday,Pontiac,Rural,Tuesday,Mar,5,Male,Married,47.0,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,9648,2,400,4.0,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1995,All Perils,1287.99249643536
7219,Oct,2,Friday,Toyota,Urban,Monday,Oct,3,Male,Married,44.0,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,9649,7,400,3.0,more than 30,more than 30,none,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1995,All Perils,6661.79126814876
7220,Jul,3,Tuesday,Accura,Urban,Monday,Aug,2,Male,Married,51.0,Policy Holder,Utility - All Perils,Utility,more than 69000,0,9650,5,400,3.0,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1995,All Perils,69505.8257808158
7221,Jul,4,Monday,Honda,Urban,Wednesday,Jul,4,Male,Single,20.0,Third Party,Sedan - All Perils,Sedan,30000 to 39000,0,9653,11,400,3.0,more than 30,more than 30,2 to 4,3 years,21 to 25,No,No,External,more than 5,no change,1 vehicle,1995,All Perils,11699.1082398752
7222,Nov,2,Wednesday,Pontiac,Urban,Tuesday,Nov,3,Female,Married,40.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,9654,3,400,3.0,more than 30,more than 30,2 to 4,6 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Collision,5423.53584705173
7223,Mar,1,Sunday,Mazda,Urban,Wednesday,Mar,2,Male,Married,62.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,9657,1,400,4.0,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1995,Collision,9071.28002758736
